Area Type,Area,Area Code
"ANACS","Grading Services","GS"
"Auction","Grading Services","GS"
"Colorization","Grading Services","GS"
"Display","In-House","IH"
"Donation/Gift","Off-Site","OS"
"Gold Plating","Grading Services","GS"
"NGC","Grading Services","GS"
"One of a Kind","In-House","IH"
"Other","In-House","IN"
"PCGS","Grading Services","GS"
"Photo","In-House","IH"
"Promotional Use","Off-Site","OF"
"QC-CP","In-House","IN"
"Sample","In-House","IN"
"Training","In-House","IN"
"Wholesale","Grading Services","GS"
